PARTY_IDNTFR|EMAIL_ADDRESS|SECURITY_DIGITS|SECURITY_DIGITS_TYPE|BRDCST_DATE|TEMPLATE_ID|CUSTOMER_SURNAME|CUSTOMER_TITLE|UNIQUE_ID|COMMUNICATION_ID|BRAND_CODE|RUN_ID|LTR_TYP_CD|LTR_PRY_CD|LETTER_SHORT_DESC|DOCUMENT_DT|PRODCT_NAME|PRODCT_L4D|LETTER_GUID|LETTER_ID
473622867|xmartin@hotmail.com||||XSLDQBS74695|Sanders||640030173662309|||||2573||22-Dec-19||6275|A95E7E4FB50359FAB6C638EB316D896|SLERR
425799209|jessicamoore@clayton.info||||HCEXETG13302|Nguyen||997679853807312|||||4958||25-Dec-19||1364|A95E7E4FB521692FAB6C638EB316D958|HWOHN
899493433|tlin@yahoo.com||||KSKUIWL37078|Todd||593713882257619|||||8957||27-Dec-19||5024|A95E7E4FB343050FAB6C638EB316D27|VHDPR
961123968|campbelladam@vaughan.biz||||WNQMMFP580|Burke||700325519824298|||||143||17-Dec-19||7837|A95E7E4FB230577FAB6C638EB316D642|GTYLM
875700005|grace64@gmail.com||||JILBXOP59638|Hernandez||881055427438044|||||1007||26-Dec-19||9711|A95E7E4FB864679FAB6C638EB316D145|IGHQA
159309692|clarkjames@foster.com||||XXWRITY13344|Adkins||427051457237561|||||368||24-Dec-19||7634|A95E7E4FB884024FAB6C638EB316D748|QOONV
933657934|acarpenter@yahoo.com||||FEQBPRI73111|Tapia||585031516114422|||||5758||4-Dec-19||5131|A95E7E4FB496584FAB6C638EB316D19|DPPWN
513574498|sandradean@yahoo.com||||ZYYQRAG58967|Garrett||511519802872514|||||919||16-Dec-19||3931|A95E7E4FB51249FAB6C638EB316D695|CPZYW
501763228|zfernandez@perkins.info||||AJRMQHV46638|Maxwell||887697902928425|||||8768||21-Dec-19||8423|A95E7E4FB676098FAB6C638EB316D860|LSUAQ
673739547|bryandeleon@barber.com||||HVVAOFX41323|Fuentes||720224770778601|||||3525||4-Dec-19||5332|A95E7E4FB707135FAB6C638EB316D217|EYGEO
839945531|chad67@chandler.biz||||AQFSPFP519|Donaldson||396181177007683|||||8192||10-Dec-19||2673|A95E7E4FB616100FAB6C638EB316D508|KMKXK
472219720|wardjesse@howard-white.biz||||GHWRMGS8007|Lester||217803184926688|||||1770||13-Dec-19||2249|A95E7E4FB919789FAB6C638EB316D502|MNIZY
932705143|rosariokendra@robinson-foster.com||||EKITYXU91908|Alexander||17123041364551|||||1076||21-Dec-19||4495|A95E7E4FB111604FAB6C638EB316D945|BIRBO
452069279|morganderrick@hotmail.com||||DEYHMAS78562|Smith||979201867682670|||||5466||17-Dec-19||3246|A95E7E4FB56843FAB6C638EB316D389|EFEBE
435264747|ekerr@long.info||||JTECKXG84706|Reyes||848055660721845|||||9043||12-Dec-19||3941|A95E7E4FB505370FAB6C638EB316D70|HBCPC
255276493|lisa13@medina.org||||YATQWTL68692|Kim||640416671093551|||||8359||25-Dec-19||9835|A95E7E4FB169315FAB6C638EB316D703|FILKP
361984901|amandaschwartz@hotmail.com||||DDPCQRB58368|Kane||167487018877808|||||9822||8-Dec-19||8590|A95E7E4FB784104FAB6C638EB316D938|PVTTU
